recipe_name,flavors,rating,success
Gingerbread Cupcakes with Lemony Frosting ,ginger cinnamon clove maple lemon ginger vanilla lemon,0,0
Brown Rice Caramel Glaze ,vanilla,0,0
Vegan Fluffy Buttercream Frosting ,vanilla,0,0
Frozen Chocolate Bananas ,banana chocolate walnut,3.5,0.94
Oatmeal Ice Cream Cookie Sandwiches ,oat vanilla,4,0.1
Lime Custards With Lychees ,lime lime,4,0.1
Ice Cream With Saffron Oil And Sesame Wafer ,honey saffron vanilla,0,0
My Favorite Sweet Shortcrust Pastry ,almond,0,0
Chocolate Ice Cream Cookie Sandwiches ,cocoa vanilla,3,0.1
My Favorite Brownie ,chocolate cocoa chocolate,4,0.1
Chocolate Sour Cream Zucchini Cake with Chocolate Glaze ,zucchini zucchini cocoa vanilla chocolate,3,0.7
"Homemade ""Dole Whip"" ",pineapple coconut banana pineapple,3.5,0.85
Raspberry and Pistachio Friands ,pistachio almond raspberry,4,0.1
Toasted Marshmallow Cupcakes ,vanilla cocoa vanilla chocolate,4,0.1
Peach and Pomegranate Pavlova ,raspberry peach pomegranate,0,0
Vegan Flaky Pastry Dough ,,0,0
Fresh Peach Crostata ,peach nutmeg almond almond,0,0
Vegan Short Pastry Crust ,,0,0
Boozy Concord-Grape Ice Pops ,grape lime,0,0
My Favorite Vanilla Cupcakes ,vanilla,0,0
My Favorite Meringue ,,1,0
Chocolate Glaze ,coffee chocolate,0,0
Grilled Apricots with Almond Cream and Fregolotta ,almond vanilla almond apricot almond honey,0,0
One-Hour Apricot and Almond Galette ,almond almond vanilla apricot,4,0.1
Nectarines and Peaches with Lavender Syrup ,pecan honey rosemary lavender peach lemon,3.5,0.1
Classic Yellow Cake with Chocolate Frosting ,vanilla cocoa vanilla,3,0.33
Chocolate and Passionfruit Layer Cake ,chocolate passionfruit chocolate chocolate,3,0.1
Roasted Banana Vegan Ice Cream ,banana coconut coconut cashew cocoa coconut walnut,2,0.5
Malted Milk Piñata Cake ,vanilla,0,0
Grill-Roasted Pineapple ,pineapple,0,0
Boozy Piña Colada Ice Cream ,pineapple rum cherry,4,0.1
Edible Cookie Dough with Variations ,vanilla chocolate chocolate cocoa marshmallow almond chocolate oat walnut raisin cinnamon peanut peanut chocolate,3,0.5
My Favorite Chocolate Cake ,cocoa lemon coffee,3.5,0.75
Passionfruit Curd ,passionfruit,0,0
Frosé (Frozen Rosé) Ice Pops ,strawberry raspberry raspberry,3,0.1
Lemon Curd with Berries ,lemon lemon,4,0.1
Gluten-Free Coconut Bread ,coconut coconut coconut coconut,1,0
Sheet-Pan Brownie Thins ,cocoa vanilla chocolate,3.5,0.89
Rhubarb Turnovers ,apple rhubarb nutmeg lemon,3,0.1
Raspberry Crème Fraîche Tart with Lavender Honey ,honey raspberry honey,4,0.87
Pound Cake with Blueberries and Lavender Syrup ,lemon vanilla lavender lemon blueberry,3.5,0.97
Madeleines with Lavender Honey ,almond honey,4,0.93
Easy Fruit Tart with Pecan Cookie Crust ,vanilla pecan lemon mango,3,0.67
Lemon Buttermilk Ice ,lemon,0,0
Chocolate-Covered Peanuts ,chocolate peanut,0,0
Raspberry and Coconut Breakfast Loaf ,coconut almond coconut lemon honey raspberry,3,0.75
Blood Orange–Champagne Ice Cream Float ,champagne orange orange,0,0
Double-Chocolate Skillet Brownie ,chocolate maple vanilla cocoa pecan chocolate vanilla pecan mint,4,0.1
BA's Best Chocolate Macaroon Cake ,coconut cocoa almond chocolate coconut vanilla chocolate maple coconut coconut almond,3,0.1
Easter Egg Cake with Strawberry Frosting ,vanilla strawberry vanilla chocolate strawberry chocolate,3,0.85
Classic Carrot-Coconut Cake ,coconut cinnamon ginger carrot vanilla coconut,4,0.93
Hungarian Golden Pull-Apart Cake with Walnuts and Apricot Jam (Aranygaluska) ,orange vanilla walnut cinnamon plum,4,0.1
Giant Meringue (Pavlova Gigantata) ,strawberry lime coconut lemon,0,0
Jam Bars ,coconut almond maple oat almond oat vanilla almond cinnamon lemon,3.5,0.1
Chocolate Glaze ,cocoa vanilla,0,0
Coconut Icing ,coconut vanilla coconut,4,0.1
Coco Lopez Coconut Cake ,vanilla coconut coconut coconut,4,0.1
Rhubarb-Almond Cake ,rhubarb almond vanilla,3.5,0.84
Classic Cream Cheese Frosting ,vanilla,3,0.83
Classic Snickerdoodle Cookies ,cinnamon,3.5,0.75
Doughnuts with Grapefruit Curd and Citrus Sugar ,lemon lemon vanilla honey lemon,0,0
"Baked Apples with Prunes, Almonds, and Amaretto ",almond apple,3.5,0.1
"Goat Cheese, Honey, and Rye Crust Pie ",apple honey vanilla apple honey thyme,0,0
St. Patrick's Day Cupcakes with White Chocolate and Pistachios ,vanilla chocolate pistachio vanilla,3,0.75
Chocolate Satin ,chocolate vanilla,3.5,0.94
Ginger and Almond Bars ,almond ginger honey vanilla almond ginger honey vanilla,3.5,0.5
Black and White Croissant Bread Pudding ,vanilla chocolate chocolate,0,0
Bananas Foster ,banana lemon cinnamon banana rum vanilla,3,0.1
Pressure-Cooker Espresso and Toasted Almond Flan ,vanilla almond almond,3,0.1
Midnight Puppy Chow ,chocolate peanut maple cocoa,3,0.84
Homemade Sprinkles ,raspberry lemon,3.5,0.83
Mirror Cake Glaze ,vanilla chocolate,2,0.32
Quick Raspberry Charlotte ,brandy vanilla raspberry lemon,3,0.7
Flourless Cacao Fudge Cake ,almond,3.5,0.67
Babee’s Strawberry Shortbread Valentine’s Cookies ,orange vanilla strawberry,0,0
Brigadeiros ,cocoa vanilla cocoa,4,0.1
Strawberry Shortcake Cupcakes ,rum vanilla vanilla vanilla vanilla strawberry vanilla strawberry strawberry,0,0
Cinnamon–Chocolate Chunk Skillet Cookie ,cinnamon vanilla chocolate,4,0.1
Double Chocolate Cupcakes With Salted Chia Pudding Frosting ,coconut date almond apple cocoa vanilla maple coconut chocolate,2,0.1
Mandarin Orange Napoleons ,lemon vanilla orange,3.5,0.1
Simple Christmas Cookies ,vanilla cinnamon ginger nutmeg,4,0.1
Salted Black Licorice Caramels ,anise,3.5,0.1
